0.00e+00,0.00e+00
1.00e-02,8.52e-02
2.00e-02,1.61e-01
3.00e-02,2.29e-01
4.00e-02,2.90e-01
5.00e-02,3.43e-01
6.00e-02,3.91e-01
7.00e-02,4.33e-01
8.00e-02,4.71e-01
9.00e-02,5.03e-01
1.00e-01,5.32e-01
1.10e-01,5.57e-01
1.20e-01,5.79e-01
1.30e-01,5.97e-01
1.40e-01,6.13e-01
1.50e-01,6.27e-01
1.60e-01,6.38e-01
1.70e-01,6.47e-01
1.80e-01,6.55e-01
1.90e-01,6.60e-01
2.00e-01,6.65e-01
2.10e-01,6.68e-01
2.20e-01,6.69e-01
2.30e-01,6.70e-01
2.40e-01,6.69e-01
2.50e-01,6.68e-01
2.60e-01,6.66e-01
2.70e-01,6.63e-01
2.80e-01,6.59e-01
2.90e-01,6.55e-01
3.00e-01,6.50e-01
3.10e-01,6.45e-01
3.20e-01,6.39e-01
3.30e-01,6.33e-01
3.40e-01,6.27e-01
3.50e-01,6.20e-01
3.60e-01,6.13e-01
3.70e-01,6.05e-01
3.80e-01,5.98e-01
3.90e-01,5.90e-01
4.00e-01,5.82e-01
4.10e-01,5.73e-01
4.20e-01,5.65e-01
4.30e-01,5.56e-01
4.40e-01,5.48e-01
4.50e-01,5.39e-01
4.60e-01,5.30e-01
4.70e-01,5.21e-01
4.80e-01,5.12e-01
4.90e-01,5.03e-01
5.00e-01,4.93e-01
5.10e-01,4.84e-01
5.20e-01,4.75e-01
5.30e-01,4.65e-01
5.40e-01,4.56e-01
5.50e-01,4.46e-01
5.60e-01,4.36e-01
5.70e-01,4.27e-01
5.80e-01,4.17e-01
5.90e-01,4.07e-01
6.00e-01,3.98e-01
6.10e-01,3.88e-01
6.20e-01,3.78e-01
6.30e-01,3.68e-01
6.40e-01,3.58e-01
6.50e-01,3.49e-01
6.60e-01,3.39e-01
6.70e-01,3.29e-01
6.80e-01,3.19e-01
6.90e-01,3.09e-01
7.00e-01,2.99e-01
7.10e-01,2.89e-01
7.20e-01,2.79e-01
7.30e-01,2.69e-01
7.40e-01,2.59e-01
7.50e-01,2.49e-01
7.60e-01,2.40e-01
7.70e-01,2.30e-01
7.80e-01,2.20e-01
7.90e-01,2.10e-01
8.00e-01,2.00e-01
8.10e-01,1.90e-01
8.20e-01,1.80e-01
8.30e-01,1.70e-01
8.40e-01,1.60e-01
8.50e-01,1.50e-01
8.60e-01,1.40e-01
8.70e-01,1.30e-01
8.80e-01,1.20e-01
8.90e-01,1.10e-01
9.00e-01,9.99e-02
9.10e-01,8.99e-02
9.20e-01,7.99e-02
9.30e-01,7.00e-02
9.40e-01,6.00e-02
9.50e-01,5.00e-02
9.60e-01,4.00e-02
9.70e-01,3.00e-02
9.80e-01,2.00e-02
9.90e-01,9.99e-03
1.00e+00,5.89e-18
